Date	AUS-USD	USD-INR	AUD-INR
25-Feb-05	0.7860	43.6850	34.3364
28-Feb-05	0.7919	43.6500	34.5664
01-Mar-05	0.7871	43.7060	34.4010
02-Mar-05	0.7829	43.7070	34.2182
03-Mar-05	0.7826	43.7200	34.2153
04-Mar-05	0.7909	43.7135	34.5730
07-Mar-05	0.7919	43.7025	34.6080
08-Mar-05	0.7980	43.6850	34.8606
09-Mar-05	0.7929	43.6500	34.6101
10-Mar-05	0.7905	43.7060	34.5496
11-Mar-05	0.7919	43.7070	34.6116
14-Mar-05	0.7869	43.6775	34.3698
15-Mar-05	0.7904	43.7300	34.5642
16-Mar-05	0.7933	43.6985	34.6660
17-Mar-05	0.7933	43.6875	34.6573
18-Mar-05	0.7943	43.6475	34.6692
21-Mar-05	0.7848	43.5675	34.1918
22-Mar-05	0.7823	43.5825	34.0946
23-Mar-05	0.7722	43.5250	33.6100
24-Mar-05	0.7719	43.5650	33.6278
25-Mar-05	0.7715	43.6150	33.6490
28-Mar-05	0.7688	43.6475	33.5562
29-Mar-05	0.7699	43.6750	33.6254
30-Mar-05	0.7698	43.6950	33.6364
31-Mar-05	0.7720	43.7400	33.7673
01-Apr-05	0.7706	43.7635	33.7242
04-Apr-05	0.7674	43.7910	33.6052
05-Apr-05	0.7688	43.7935	33.6684
06-Apr-05	0.7648	43.7900	33.4906
07-Apr-05	0.7659	43.8085	33.5529
08-Apr-05	0.7717	43.7600	33.7696
11-Apr-05	0.7750	43.7500	33.9063
12-Apr-05	0.7752	43.7750	33.9344
13-Apr-05	0.7774	43.8063	34.0550
14-Apr-05	0.7699	43.7485	33.6820
15-Apr-05	0.7680	43.7400	33.5923
18-Apr-05	0.7678	43.7563	33.5960
19-Apr-05	0.7715	43.7275	33.7358
20-Apr-05	0.7753	43.7038	33.8835
21-Apr-05	0.7757	43.7350	33.9252
22-Apr-05	0.7816	43.7350	34.1833
25-Apr-05	0.7806	43.7825	34.1766
26-Apr-05	0.7778	43.7475	34.0268
27-Apr-05	0.7764	43.7538	33.9704
28-Apr-05	0.7786	43.7525	34.0657
29-Apr-05	0.7808	43.7450	34.1561
02-May-05	0.7796	43.7450	34.1036
03-May-05	0.7738	43.7125	33.8247
04-May-05	0.7806	43.6900	34.1044
05-May-05	0.7806	43.7038	34.1151
06-May-05	0.7756	43.6950	33.8898
09-May-05	0.7723	43.6063	33.6771
10-May-05	0.7764	43.5875	33.8413
11-May-05	0.7741	43.5888	33.7421
12-May-05	0.7650	43.5325	33.3024
13-May-05	0.7609	43.4325	33.0478
16-May-05	0.7558	43.4363	32.8291
17-May-05	0.7550	43.5000	32.8425
18-May-05	0.7607	43.4513	33.0534
19-May-05	0.7579	43.3375	32.8455
20-May-05	0.7558	43.3300	32.7488
23-May-05	0.7592	43.4100	32.9569
24-May-05	0.7626	43.4838	33.1607
25-May-05	0.7624	43.4438	33.1215
26-May-05	0.7582	43.5550	33.0234
27-May-05	0.7628	43.4500	33.1437
30-May-05	0.7602	43.4825	33.0554
31-May-05	0.7556	43.5350	32.8950
01-Jun-05	0.7493	43.5025	32.5964
02-Jun-05	0.7544	43.5125	32.8258
03-Jun-05	0.7563	43.5200	32.9142
06-Jun-05	0.7650	43.5100	33.2852
07-Jun-05	0.7687	43.5538	33.4798
08-Jun-05	0.7648	43.7050	33.4256
09-Jun-05	0.7675	43.7488	33.5772
10-Jun-05	0.7611	43.7375	33.2886
13-Jun-05	0.7610	43.6400	33.2100
14-Jun-05	0.7630	43.5675	33.2420
15-Jun-05	0.7693	43.5350	33.4915
