Date	EUR-USD	USD-INR	EUR-INR
27-Dec-99	1.0125	43.5250	44.0691
28-Dec-99	1.0069	43.5275	43.8278
29-Dec-99	1.0043	43.5650	43.7523
30-Dec-99	1.0088	43.5713	43.9547
31-Dec-99	1.0070	43.5588	43.8637
3-Jan-00	1.0262	43.5800	44.7218
4-Jan-00	1.0308	43.6225	44.9661
5-Jan-00	1.0314	43.5925	44.9613
6-Jan-00	1.0319	43.5800	44.9702
7-Jan-00	1.0290	43.6000	44.8644
10-Jan-00	1.0253	43.6225	44.7261
11-Jan-00	1.0332	43.6163	45.0643
12-Jan-00	1.0310	43.5925	44.9439
13-Jan-00	1.0252	43.5963	44.6949
14-Jan-00	1.0125	43.6125	44.1577
17-Jan-00	1.0115	43.6131	44.1147
18-Jan-00	1.0182	43.6138	44.4075
19-Jan-00	1.0119	43.6075	44.1264
20-Jan-00	1.0172	43.6125	44.3626
21-Jan-00	1.0089	43.6125	44.0007
24-Jan-00	1.0075	43.6150	43.9421
25-Jan-00	1.0003	43.6175	43.6306
26-Jan-00	1.0009	43.5938	43.6330
27-Jan-00	0.9881	43.6150	43.0960
28-Jan-00	0.9745	43.6100	42.4979
31-Jan-00	0.9693	43.6125	42.2736
1-Feb-00	0.9721	43.6150	42.3981
2-Feb-00	0.9768	43.6025	42.5909
3-Feb-00	0.9900	43.6000	43.1640
4-Feb-00	0.9825	43.6225	42.8591
7-Feb-00	0.9808	43.6075	42.7702
8-Feb-00	0.9854	43.6100	42.9733
9-Feb-00	0.9881	43.6050	43.0861
10-Feb-00	0.9849	43.5825	42.9244
11-Feb-00	0.9817	43.5775	42.7800
14-Feb-00	0.9785	43.5750	42.6381
15-Feb-00	0.9812	43.5738	42.7546
16-Feb-00	0.9877	43.5700	43.0341
17-Feb-00	0.9877	43.5763	43.0403
18-Feb-00	0.9862	43.5800	42.9786
21-Feb-00	0.9872	43.5800	43.0222
22-Feb-00	1.0038	43.5738	43.7393
23-Feb-00	1.0028	43.5813	43.7033
24-Feb-00	0.9929	43.5775	43.2681
25-Feb-00	0.9742	43.5775	42.4532
28-Feb-00	0.9717	43.5775	42.3443
29-Feb-00	0.9646	43.5663	42.0240
1-Mar-00	0.9734	43.5775	42.4183
2-Mar-00	0.9642	43.6000	42.0391
3-Mar-00	0.9610	43.6025	41.9020
6-Mar-00	0.9592	43.6038	41.8247
7-Mar-00	0.9592	43.6050	41.8259
8-Mar-00	0.9609	43.5963	41.8916
9-Mar-00	0.9664	43.6113	42.1459
10-Mar-00	0.9630	43.6138	42.0000
13-Mar-00	0.9645	43.6125	42.0643
14-Mar-00	0.9680	43.6350	42.2387
15-Mar-00	0.9672	43.6250	42.1941
16-Mar-00	0.9713	43.6300	42.3778
17-Mar-00	0.9705	43.6200	42.3332
20-Mar-00	0.9730	43.6150	42.4374
21-Mar-00	0.9639	43.6288	42.0538
22-Mar-00	0.9610	43.6338	41.9320
23-Mar-00	0.9716	43.6388	42.3994
24-Mar-00	0.9769	43.6438	42.6356
27-Mar-00	0.9665	43.6488	42.1865
28-Mar-00	0.9603	43.6350	41.9027
29-Mar-00	0.9514	43.6588	41.5369
30-Mar-00	0.9609	43.6525	41.9457
31-Mar-00	0.9555	43.6525	41.7100
3-Apr-00	0.9551	43.6525	41.6925
4-Apr-00	0.9614	43.6550	41.9699
5-Apr-00	0.9601	43.6550	41.9132
6-Apr-00	0.9570	43.6600	41.7826
7-Apr-00	0.9538	43.6550	41.6381
10-Apr-00	0.9624	43.6538	42.0124
11-Apr-00	0.9589	43.6525	41.8584
12-Apr-00	0.9586	43.6425	41.8357
13-Apr-00	0.9528	43.6475	41.5873
14-Apr-00	0.9610	43.6438	41.9416
17-Apr-00	0.9522	43.6388	41.5528
18-Apr-00	0.9457	43.6625	41.2916
19-Apr-00	0.9403	43.8725	41.2533
20-Apr-00	0.9379	43.9750	41.2442
21-Apr-00	0.9370	43.8825	41.1179
24-Apr-00	0.9383	44.0000	41.2852
25-Apr-00	0.9208	43.9688	40.4864
26-Apr-00	0.9236	43.9663	40.6072
27-Apr-00	0.9097	43.9663	39.9961
28-Apr-00	0.9116	43.9700	40.0831
1-May-00	0.9157	43.9788	40.2713
2-May-00	0.9098	44.0125	40.0426
3-May-00	0.8956	44.1050	39.5004
4-May-00	0.8907	44.4750	39.6139
5-May-00	0.8965	44.2500	39.6701
8-May-00	0.8978	44.4250	39.8848
9-May-00	0.9073	44.5400	40.4111
10-May-00	0.9065	44.5500	40.3846
11-May-00	0.9013	44.5650	40.1664
12-May-00	0.9197	44.6575	41.0715
15-May-00	0.9115	44.6625	40.7099
16-May-00	0.9002	44.6738	40.2153
17-May-00	0.8951	44.7025	40.0132
18-May-00	0.8944	44.7450	40.0199
19-May-00	0.8972	44.7600	40.1587
22-May-00	0.9027	44.7725	40.4161
23-May-00	0.9074	44.7538	40.6096
24-May-00	0.9030	44.7000	40.3641
25-May-00	0.9125	44.6988	40.7876
26-May-00	0.9310	44.6975	41.6134
29-May-00	0.9264	44.6738	41.3858
30-May-00	0.9298	44.6650	41.5295
31-May-00	0.9377	44.6475	41.8660
1-Jun-00	0.9313	44.6638	41.5954
2-Jun-00	0.9460	44.6863	42.2732
5-Jun-00	0.9477	44.6500	42.3148
6-Jun-00	0.9543	44.6650	42.6238
