DATE	GBP USD	USD INR	GBP INR
3-Jan-00	1.6001	43.4025	69.4483
4-Jan-00	1.5995	43.4050	69.4263
5-Jan-00	1.6020	43.4050	69.5348
6-Jan-00	1.6180	43.4200	70.2536
7-Jan-00	1.6251	43.4488	70.6086
10-Jan-00	1.6277	43.4688	70.7541
11-Jan-00	1.6247	43.4575	70.6054
12-Jan-00	1.6210	43.4713	70.4669
13-Jan-00	1.6240	43.4975	70.6399
14-Jan-00	1.6105	43.5300	70.1051
17-Jan-00	1.6045	43.5325	69.8479
18-Jan-00	1.6105	43.5100	70.0729
19-Jan-00	1.6050	43.4825	69.7894
20-Jan-00	1.6067	43.4913	69.8774
21-Jan-00	1.6118	43.4963	70.1073
24-Jan-00	1.6080	43.5050	69.9560
25-Jan-00	1.6160	43.5188	70.3264
26-Jan-00	1.6170	43.5100	70.3557
27-Jan-00	1.6167	0.0000	0.0000
28-Jan-00	1.6143	43.4963	70.2160
31-Jan-00	1.6175	43.5238	70.3997
1-Feb-00	1.6158	43.5138	70.3095
2-Feb-00	1.6176	43.4988	70.3636
3-Feb-00	1.6368	43.4838	71.1742
4-Feb-00	1.6365	43.5150	71.2123
7-Feb-00	1.6415	43.5275	71.4504
8-Feb-00	1.6463	43.5150	71.6387
9-Feb-00	1.6390	43.5163	71.3231
10-Feb-00	1.6365	43.5225	71.2246
11-Feb-00	1.6480	43.5300	71.7374
14-Feb-00	1.6474	43.5300	71.7113
15-Feb-00	1.6462	43.5263	71.6529
16-Feb-00	1.6336	43.5250	71.1024
17-Feb-00	1.6328	43.5275	71.0717
18-Feb-00	1.6365	43.5650	71.2941
21-Feb-00	1.6436	43.5713	71.6137
22-Feb-00	1.6541	43.5588	72.0505
23-Feb-00	1.6489	43.5800	71.8591
24-Feb-00	1.6510	43.6225	72.0207
25-Feb-00	1.6440	43.5925	71.6661
28-Feb-00	1.6380	43.5925	71.4045
29-Feb-00	1.6385	43.5800	71.4058
1-Mar-00	1.6186	43.6000	70.5710
2-Mar-00	1.6154	43.6225	70.4678
3-Mar-00	1.6139	43.6163	70.3923
6-Mar-00	1.6085	43.5925	70.1185
7-Mar-00	1.5975	43.5963	69.6450
8-Mar-00	1.5919	43.6125	69.4267
9-Mar-00	1.5978	43.6131	69.6851
10-Mar-00	1.6113	43.6138	70.2748
13-Mar-00	1.6163	43.6075	70.4828
14-Mar-00	1.6081	43.6125	70.1333
15-Mar-00	1.5921	43.6125	69.4355
16-Mar-00	1.5865	43.6150	69.1952
17-Mar-00	1.5964	43.6175	69.6310
20-Mar-00	1.6082	43.5938	70.1075
21-Mar-00	1.6081	43.6150	70.1373
22-Mar-00	1.6013	43.6100	69.8327
23-Mar-00	1.5994	43.6125	69.7538
24-Mar-00	1.6122	43.6150	70.3161
27-Mar-00	1.6034	43.6025	69.9122
28-Mar-00	1.6002	43.6000	69.7687
29-Mar-00	1.5945	43.6225	69.5561
30-Mar-00	1.5954	43.6075	69.5714
31-Mar-00	1.5784	43.6100	68.8340
3-Apr-00	1.5865	43.6050	69.1793
4-Apr-00	1.5759	43.5825	68.6817
5-Apr-00	1.5775	43.5775	68.7435
6-Apr-00	1.5745	43.5750	68.6088
7-Apr-00	1.5793	43.5738	68.8160
10-Apr-00	1.5803	43.5700	68.8537
11-Apr-00	1.5812	43.5763	68.9028
12-Apr-00	1.5770	43.5800	68.7257
13-Apr-00	1.5792	43.5800	68.8215
14-Apr-00	1.5770	43.5738	68.7158
17-Apr-00	1.5725	43.5813	68.5315
18-Apr-00	1.5763	43.5775	68.6912
19-Apr-00	1.5751	43.5775	68.6389
20-Apr-00	1.5689	43.5775	68.3687
21-Apr-00	1.5726	43.5663	68.5123
24-Apr-00	1.5776	43.5775	68.7479
25-Apr-00	1.5873	43.6000	69.2063
26-Apr-00	1.5955	43.6025	69.5678
27-Apr-00	1.5875	43.6038	69.2210
28-Apr-00	1.5885	43.6050	69.2665
1-May-00	1.5922	43.5963	69.4139
2-May-00	1.5956	43.6113	69.5861
3-May-00	1.5930	43.6138	69.4767
4-May-00	1.5970	43.6125	69.6492
5-May-00	1.5928	43.6350	69.5018
8-May-00	1.5849	43.6250	69.1413
9-May-00	1.5790	43.6300	68.8918
10-May-00	1.5786	43.6200	68.8585
11-May-00	1.5851	43.6150	69.1341
12-May-00	1.5850	43.6288	69.1516
15-May-00	1.5880	43.6338	69.2904
16-May-00	1.5859	43.6388	69.2067
17-May-00	1.5879	43.6438	69.3019
18-May-00	1.5798	43.6488	68.9563
19-May-00	1.5768	43.6350	68.8037
22-May-00	1.5815	43.6588	69.0463
23-May-00	1.5795	43.6525	68.9491
24-May-00	1.5807	43.6525	69.0015
25-May-00	1.5785	43.6525	68.9055
26-May-00	1.5810	43.6550	69.0186
29-May-00	1.5751	43.6550	68.7610
30-May-00	1.5717	43.6600	68.6204
31-May-00	1.5497	43.6550	67.6522
1-Jun-00	1.5535	43.6538	67.8161
2-Jun-00	1.5600	43.6525	68.0979
5-Jun-00	1.5613	43.6425	68.1390
6-Jun-00	1.5417	43.6475	67.2914
7-Jun-00	1.5290	43.6438	66.7313
8-Jun-00	1.5326	43.6388	66.8807
9-Jun-00	1.5306	43.6625	66.8298
12-Jun-00	1.5121	43.8725	66.3396
13-Jun-00	1.5042	43.9750	66.1472
14-Jun-00	1.5170	43.8825	66.5698
15-Jun-00	1.5054	44.0000	66.2376
16-Jun-00	1.4940	43.9688	65.6893
19-Jun-00	1.4960	43.9663	65.7735
20-Jun-00	1.4838	43.9663	65.2371
21-Jun-00	1.4875	43.9700	65.4054
22-Jun-00	1.4911	43.9788	65.5767
23-Jun-00	1.4767	44.0125	64.9933
26-Jun-00	1.4736	44.1050	64.9931
27-Jun-00	1.4704	44.4750	65.3960
28-Jun-00	1.4894	44.2500	65.9060
29-Jun-00	1.4923	44.4250	66.2954
30-Jun-00	1.4973	44.5400	66.6897
3-Jul-00	1.5010	44.5500	66.8696
4-Jul-00	1.4945	44.5650	66.6024
5-Jul-00	1.5100	44.6575	67.4328
6-Jul-00	1.5190	44.6625	67.8423
7-Jul-00	1.5282	44.6738	68.2704
10-Jul-00	1.5220	44.7025	68.0372
11-Jul-00	1.5099	44.7450	67.5605
12-Jul-00	1.5080	44.7600	67.4981
13-Jul-00	1.5130	44.7725	67.7408
14-Jul-00	1.5058	44.7538	67.3902
17-Jul-00	1.4986	44.7000	66.9874
18-Jul-00	1.5110	44.6988	67.5398
19-Jul-00	1.5153	44.6975	67.7301
20-Jul-00	1.5111	44.6738	67.5065
21-Jul-00	1.5176	44.6650	67.7836
24-Jul-00	1.4982	44.6475	66.8909
25-Jul-00	1.5124	44.6638	67.5495
26-Jul-00	1.5003	44.6863	67.0428
27-Jul-00	1.4970	44.6500	66.8411
28-Jul-00	1.5061	44.6650	67.2700
31-Jul-00	1.5128	44.6625	67.5654
1-Aug-00	1.5180	44.6650	67.8015
2-Aug-00	1.5167	44.6800	67.7662
3-Aug-00	1.5134	44.6650	67.5960
4-Aug-00	1.5149	44.6725	67.6744
7-Aug-00	1.5075	44.6738	67.3457
8-Aug-00	1.5070	44.7225	67.3968
9-Aug-00	1.5134	44.7088	67.6622
10-Aug-00	1.5131	44.6913	67.6223
11-Aug-00	1.5169	44.6800	67.7751
14-Aug-00	1.5060	44.6825	67.2918
15-Aug-00	1.5034	44.7050	67.2095
16-Aug-00	1.5003	44.6975	67.0597
17-Aug-00	1.4950	44.7113	66.8433
18-Aug-00	1.4970	44.7425	66.9795
21-Aug-00	1.4978	44.7625	67.0453
22-Aug-00	1.5110	44.8388	67.7514
23-Aug-00	1.5166	44.9600	68.1863
24-Aug-00	1.5152	44.7700	67.8355
25-Aug-00	1.5158	44.9000	68.0594
28-Aug-00	1.5152	44.9250	68.0704
29-Aug-00	1.5136	44.8688	67.9133
30-Aug-00	1.5025	44.8613	67.4040
31-Aug-00	1.4990	44.9638	67.4007
1-Sep-00	1.4917	45.0300	67.1713
4-Sep-00	1.4955	45.3100	67.7611
5-Sep-00	1.4977	45.4500	68.0705
6-Sep-00	1.5037	45.4250	68.3056
7-Sep-00	1.5126	45.4850	68.8006
8-Sep-00	1.5014	45.7350	68.6665
11-Sep-00	1.5021	45.6250	68.5333
12-Sep-00	1.4969	45.7500	68.4832
13-Sep-00	1.5017	45.7950	68.7704
14-Sep-00	1.5055	45.8050	68.9594
15-Sep-00	1.5035	45.7300	68.7551
16-Aug-00	1.4996	45.6688	68.4849
17-Aug-00	1.4973	45.8150	68.5988
18-Aug-00	1.4900	45.8550	68.3240
21-Aug-00	1.4870	45.6850	67.9336
22-Aug-00	1.4821	45.6875	67.7134
23-Aug-00	1.4867	45.7650	68.0388
24-Aug-00	1.4810	45.9100	67.9927
25-Aug-00	1.4691	45.9050	67.4390
28-Aug-00	1.4686	45.8250	67.2986
29-Aug-00	1.4558	45.7763	66.6411
30-Aug-00	1.4592	45.8388	66.8879
31-Aug-00	1.4489	45.7925	66.3488
1-Sep-00	1.4640	45.7600	66.9926
4-Sep-00	1.4581	45.7250	66.6716
5-Sep-00	1.4544	45.7263	66.5043
6-Sep-00	1.4362	45.6650	65.5841
7-Sep-00	1.4374	45.6238	65.5796
8-Sep-00	1.4140	45.6325	64.5244
11-Sep-00	1.4015	45.6125	63.9259
12-Sep-00	1.4069	45.6088	64.1670
13-Sep-00	1.4092	45.6250	64.2948
14-Sep-00	1.4064	45.6775	64.2408
15-Sep-00	1.3968	45.7350	63.8826
18-Sep-00	1.4056	45.9100	64.5311
19-Sep-00	1.4090	46.2400	65.1522
20-Sep-00	1.4115	46.3750	65.4583
21-Sep-00	1.4375	46.2300	66.4556
22-Sep-00	1.4530	46.0200	66.8671
25-Sep-00	1.4513	46.1300	66.9485
26-Sep-00	1.4634	46.0500	67.3896
27-Sep-00	1.4638	46.1300	67.5251
28-Sep-00	1.4620	46.1375	67.4530
29-Sep-00	1.4760	46.0125	67.9145
2-Oct-00	1.4666	46.0200	67.4929
3-Oct-00	1.4576	46.0700	67.1516
4-Oct-00	1.4580	46.0400	67.1263
5-Oct-00	1.4438	46.0775	66.5267
6-Oct-00	1.4457	46.0975	66.6432
9-Oct-00	1.4478	46.0875	66.7255
10-Oct-00	1.4556	46.1400	67.1614
11-Oct-00	1.4610	46.2900	67.6297
12-Oct-00	1.4707	46.3100	68.1081
13-Oct-00	1.4518	46.2800	67.1893
16-Oct-00	1.4473	46.2661	66.9609
17-Oct-00	1.4499	46.2954	67.1237
18-Oct-00	1.4423	46.2868	66.7595
19-Oct-00	1.4450	46.2910	66.8905
20-Oct-00	1.4510	46.3026	67.1851
23-Oct-00	1.4530	46.3090	67.2870
24-Oct-00	1.4484	46.3000	67.0609
25-Oct-00	1.4321	46.3266	66.3443
26-Oct-00	1.4356	46.3644	66.5607
27-Oct-00	1.4548	46.8640	68.1777
30-Oct-00	1.4497	46.7700	67.8025
31-Oct-00	1.4481	46.7025	67.6299
1-Nov-00	1.4512	46.8150	67.9379
2-Nov-00	1.4459	46.7350	67.5741
3-Nov-00	1.4515	46.6600	67.7270
6-Nov-00	1.4270	46.5850	66.4768
7-Nov-00	1.4345	46.6625	66.9374
8-Nov-00	1.4235	46.7000	66.4775
9-Nov-00	1.4321	46.7275	66.9185
10-Nov-00	1.4257	46.7450	66.6443
13-Nov-00	1.4370	46.7525	67.1833
14-Nov-00	1.4310	46.7825	66.9458
15-Nov-00	1.4267	46.7950	66.7624
16-Nov-00	1.4232	46.8300	66.6485
17-Nov-00	1.4238	46.8175	66.6588
20-Nov-00	1.4230	46.7750	66.5608
21-Nov-00	1.4176	46.7938	66.3348
22-Nov-00	1.4067	46.8250	65.8687
23-Nov-00	1.4005	46.8188	65.5697
24-Nov-00	1.3992	46.8525	65.5560
27-Nov-00	1.4166	46.8600	66.3819
28-Nov-00	1.4175	46.8913	66.4683
29-Nov-00	1.4216	46.8425	66.5913
30-Nov-00	1.4259	46.8563	66.8123
1-Dec-00	1.4413	46.8375	67.5069
4-Dec-00	1.4510	46.8350	67.9576
5-Dec-00	1.4320	46.7850	66.9961
6-Dec-00	1.4440	46.7275	67.4745
7-Dec-00	1.4470	46.7650	67.6690
8-Dec-00	1.4450	46.7600	67.5682
11-Dec-00	1.4555	46.7600	68.0592
12-Dec-00	1.4505	46.7650	67.8326
13-Dec-00	1.4573	46.7650	68.1506
14-Dec-00	1.4725	46.7650	68.8615
15-Dec-00	1.4743	46.7635	68.9434
18-Dec-00	1.4737	46.7463	68.8899
19-Dec-00	1.4675	46.6988	68.5304
20-Dec-00	1.4778	46.6913	69.0003
21-Dec-00	1.4726	46.7125	68.7888
22-Dec-00	1.4795	46.6875	69.0742
25-Dec-00	1.4795	0.0000	0.0000
26-Dec-00	1.4865	46.6700	69.3750
27-Dec-00	1.4980	46.6850	69.9341
28-Dec-00	1.4910	46.6988	69.6278
29-Dec-00	1.4957	46.7125	69.8679
1-Jan-01	1.4957	0.0000	0.0000
2-Jan-01	1.5000	46.6888	70.0331
3-Jan-01	1.4907	46.7025	69.6194
4-Jan-01	1.5015	46.7250	70.1576
5-Jan-01	1.5025	46.7325	70.2156
8-Jan-01	1.4961	46.6950	69.8604
9-Jan-01	1.4903	46.6538	69.5281
10-Jan-01	1.4873	46.6025	69.3119
11-Jan-01	1.4980	46.6350	69.8592
12-Jan-01	1.4766	46.5875	68.7911
15-Jan-01	1.4773	46.5163	68.7185
16-Jan-01	1.4720	46.5188	68.4756
17-Jan-01	1.4728	46.4200	68.3674
18-Jan-01	1.4728	46.4250	68.3747
19-Jan-01	1.4635	46.3925	67.8954
22-Jan-01	1.4650	46.3775	67.9430
23-Jan-01	1.4700	46.3500	68.1345
24-Jan-01	1.4537	46.3700	67.4081
25-Jan-01	1.4590	46.4325	67.7450
26-Jan-01	1.4617	46.4325	67.8704
29-Jan-01	1.4580	46.5100	67.8116
30-Jan-01	1.4622	46.4600	67.9338
31-Jan-01	1.4635	46.4088	67.9192
1-Feb-01	1.4770	46.4000	68.5328
2-Feb-01	1.4690	46.3988	68.1598
5-Feb-01	1.4744	46.4025	68.4158
6-Feb-01	1.4600	46.3963	67.7385
7-Feb-01	1.4514	46.4013	67.3468
8-Feb-01	1.4436	46.4375	67.0372
9-Feb-01	1.4431	46.4375	67.0140
12-Feb-01	1.4527	46.4900	67.5360
13-Feb-01	1.4520	46.5300	67.5616
14-Feb-01	1.4552	46.5975	67.8087
15-Feb-01	1.4458	46.6000	67.3743
16-Feb-01	1.4489	46.5388	67.4300
19-Feb-01	1.4475	46.5350	67.3594
20-Feb-01	1.4455	46.5700	67.3169
21-Feb-01	1.4425	46.6075	67.2313
22-Feb-01	1.4457	46.6138	67.3895
23-Feb-01	1.4539	46.5800	67.7227
26-Feb-01	1.4448	46.6213	67.3584
27-Feb-01	1.4425	46.6500	67.2926
28-Feb-01	1.4444	46.5875	67.2910
1-Mar-01	1.4548	46.5250	67.6846
2-Mar-01	1.4707	46.5575	68.4721
5-Mar-01	1.4666	46.5400	68.2556
6-Mar-01	1.4668	46.5200	68.2355
7-Mar-01	1.4613	46.5225	67.9833
8-Mar-01	1.4698	46.5375	68.4008
9-Mar-01	1.4685	46.5325	68.3330
12-Mar-01	1.4645	46.5475	68.1688
13-Mar-01	1.4495	46.6200	67.5757
14-Mar-01	1.4451	46.7000	67.4862
15-Mar-01	1.4360	46.6550	66.9966
16-Mar-01	1.4290	46.6750	66.6986
19-Mar-01	1.4250	46.6838	66.5243
20-Mar-01	1.4385	46.7013	67.1797
21-Mar-01	1.4285	46.7025	66.7145
22-Mar-01	1.4212	46.6925	66.3594
23-Mar-01	1.4275	46.6775	66.6321
26-Mar-01	1.4351	46.6500	66.9474
27-Mar-01	1.4335	46.6300	66.8441
28-Mar-01	1.4378	46.6150	67.0230
29-Mar-01	1.4265	46.6500	66.5462
30-Mar-01	1.4150	46.6250	65.9744
2-Apr-01	1.4198	46.6300	66.2053
3-Apr-01	1.4322	46.6525	66.8157
4-Apr-01	1.4330	46.6125	66.7957
5-Apr-01	1.4285	46.5850	66.5467
6-Apr-01	1.4395	46.5900	67.0663
9-Apr-01	1.4379	46.5600	66.9486
10-Apr-01	1.4325	46.5600	66.6972
11-Apr-01	1.4360	46.6325	66.9643
12-Apr-01	1.4385	46.8500	67.3937
13-Apr-01	1.4371	46.8500	67.3281
16-Apr-01	1.4364	46.9550	67.4462
17-Apr-01	1.4322	46.9700	67.2704
18-Apr-01	1.4285	46.8500	66.9252
19-Apr-01	1.4448	46.8450	67.6817
20-Apr-01	1.4440	46.8350	67.6297
23-Apr-01	1.4380	46.7975	67.2948
24-Apr-01	1.4335	46.8438	67.1505
25-Apr-01	1.4414	46.8325	67.5044
26-Apr-01	1.4392	46.8575	67.4373
27-Apr-01	1.4401	46.8550	67.4759
30-Apr-01	1.4331	46.8500	67.1407
1-May-01	1.4342	46.8500	67.1923
2-May-01	1.4365	46.8163	67.2515
3-May-01	1.4361	46.8400	67.2669
4-May-01	1.4390	46.8338	67.3938
7-May-01	1.4380	46.8138	67.3182
8-May-01	1.4262	46.8150	66.7676
9-May-01	1.4223	46.8325	66.6099
10-May-01	1.4225	46.8488	66.6423
11-May-01	1.4207	46.8638	66.5793
14-May-01	1.4188	46.9375	66.5949
15-May-01	1.4236	47.0150	66.9306
16-May-01	1.4310	46.9550	67.1926
17-May-01	1.4322	46.9525	67.2454
18-May-01	1.4385	46.9375	67.5196
21-May-01	1.4390	46.9700	67.5898
22-May-01	1.4275	47.0000	67.0925
23-May-01	1.4185	47.0000	66.6695
24-May-01	1.4080	46.9775	66.1443
25-May-01	1.4209	46.9638	66.7308
28-May-01	1.4200	46.9575	66.6797
29-May-01	1.4225	46.9825	66.8326
30-May-01	1.4268	46.9688	67.0150
31-May-01	1.4180	46.9950	66.6389
1-Jun-01	1.4207	47.0650	66.8652
4-Jun-01	1.4134	47.0300	66.4722
5-Jun-01	1.4130	47.0300	66.4534
6-Jun-01	1.3900	46.9850	65.3092
7-Jun-01	1.3930	46.9750	65.4362
8-Jun-01	1.3850	46.9613	65.0413
11-Jun-01	1.3720	46.9775	64.4531
12-Jun-01	1.3739	47.0175	64.5973
13-Jun-01	1.3915	47.0338	65.4475
14-Jun-01	1.4000	47.0475	65.8665
15-Jun-01	1.4030	47.0175	65.9656
18-Jun-01	1.4040	46.9850	65.9669
19-Jun-01	1.4005	46.9725	65.7850
20-Jun-01	1.3960	46.9575	65.5527
21-Jun-01	1.4150	46.9875	66.4873
22-Jun-01	1.4122	46.9975	66.3699
25-Jun-01	1.4130	46.9888	66.3951
26-Jun-01	1.4168	47.0275	66.6286
27-Jun-01	1.4172	47.0188	66.6350
28-Jun-01	1.4068	47.0138	66.1389
29-Jun-01	1.4150	47.0538	66.5811
2-Jul-01	1.4162	47.1075	66.7136
3-Jul-01	1.4076	47.1650	66.3895
4-Jul-01	1.4066	47.1113	66.2667
5-Jul-01	1.4030	47.1250	66.1164
6-Jul-01	1.4115	47.1538	66.5575
9-Jul-01	1.4088	47.1450	66.4179
10-Jul-01	1.4112	47.1575	66.5487
11-Jul-01	1.4075	47.1550	66.3707
12-Jul-01	1.4074	47.1550	66.3659
13-Jul-01	1.4042	47.1575	66.2186
16-Jul-01	1.3990	47.1525	65.9663
17-Jul-01	1.4018	47.1275	66.0633
18-Jul-01	1.4195	47.1375	66.9117
19-Jul-01	1.4295	47.1600	67.4152
20-Jul-01	1.4299	47.1163	67.3715
23-Jul-01	1.4200	47.1325	66.9282
24-Jul-01	1.4215	47.1275	66.9917
25-Jul-01	1.4280	47.1350	67.3088
26-Jul-01	1.4266	47.1563	67.2731
27-Jul-01	1.4244	47.1563	67.1694
30-Jul-01	1.4262	47.1450	67.2382
31-Jul-01	1.4252	47.1525	67.2017
1-Aug-01	1.4342	47.1350	67.6010
2-Aug-01	1.4315	47.1125	67.4415
3-Aug-01	1.4285	47.0988	67.2806
6-Aug-01	1.4180	47.1125	66.8055
