*********************************				
Read our RUPEE FORECASTS at 				
 www.kshitij.com/inr/inr1.shtml				
*******************************************				

USD/INR since 2000				
* The Bid is the lowest of the Bid rates for the Day *				
* The Offer is the highest of the Offer rates				
 for the Day *				
* The Mid is the average of these two rates *				
* The rates are provided for the purpose *				
* of reference only and are not guaranteed *				
* for accuracy *				

Date	Bid	Offer	INR Mid	
3-Jan-00	43.4725	43.4950	43.4838	
4-Jan-00	43.4950	43.5350	43.5150
5-Jan-00	43.5150	43.5400	43.5275
6-Jan-00	43.5000	43.5300	43.5150
7-Jan-00	43.5075	43.5250	43.5163
10-Jan-00	43.5125	43.5325	43.5225
11-Jan-00	43.5200	43.5400	43.5300
12-Jan-00	43.5275	43.5325	43.5300
13-Jan-00	43.5225	43.5300	43.5263
14-Jan-00	43.5200	43.5300	43.5250
17-Jan-00	43.5100	43.5450	43.5275
18-Jan-00	43.5400	43.5900	43.5650
19-Jan-00	43.5600	43.5825	43.5713
20-Jan-00	43.5500	43.5675	43.5588
21-Jan-00	43.5700	43.5900	43.5800
24-Jan-00	43.5850	43.6600	43.6225
25-Jan-00	43.5750	43.6100	43.5925
27-Jan-00	43.5750	43.5850	43.5800
28-Jan-00	43.5800	43.6200	43.6000
31-Jan-00	43.6150	43.6300	43.6225
1-Feb-00	43.6000	43.6325	43.6163
2-Feb-00	43.5850	43.6000	43.5925
3-Feb-00	43.5900	43.6025	43.5963
4-Feb-00	43.6050	43.6200	43.6125
7-Feb-00			43.6131
8-Feb-00	43.6050	43.6225	43.6138
9-Feb-00	43.6000	43.6150	43.6075
10-Feb-00	43.6100	43.6150	43.6125
11-Feb-00	43.6100	43.6150	43.6125
14-Feb-00			43.6150
15-Feb-00	43.6050	43.6300	43.6175
16-Feb-00	43.5825	43.6050	43.5938
17-Feb-00	43.6025	43.6275	43.6150
18-Feb-00	43.6025	43.6175	43.6100
21-Feb-00			43.6125
22-Feb-00	43.6050	43.6250	43.6150
23-Feb-00	43.5925	43.6125	43.6025
24-Feb-00	43.5900	43.6100	43.6000
25-Feb-00	43.6150	43.6300	43.6225
28-Feb-00	43.6000	43.6150	43.6075
